"BM","DOCX","Base grade","Fields","Bindings","Unknown","Review required","Bespoke/Generic","Agency status","Runtime source","Source ID","Alternate sources","Warnings","Issues"
"BM-001","YES","LOCKED_VERIFIED","39","39","0","0","BESPOKE","DRAFT","LOCKED_FILE","BM-001__f4c2aa3682d3","BM-001__f4c2aa3682d3","",""
"BM-002","YES","LOCKED_VERIFIED","29","32","0","0","BESPOKE","NONE","LOCKED_FILE","BM-002__f78301178da7","BM-002__f78301178da7","",""
"BM-003","YES","LOCKED_VERIFIED","10","10","0","0","BESPOKE","NONE","LOCKED_FILE","BM-003__bb64990bc49b","BM-003__bb64990bc49b","",""
"BM-004","YES","EXTRACTED_NEEDS_REVIEW","46","50","46","50","BESPOKE","DRAFT","LEGACY_BESPOKE","BM-004__2775520fd22c","","V1_ADAPTER_COMPILE_REVIEW_REQUIRED",""
"BM-005","YES","EXTRACTED_NEEDS_REVIEW","16","16","16","16","BESPOKE","NONE","LEGACY_BESPOKE","BM-005__4cf240724a90","","",""
"BM-006","YES","EXTRACTED_NEEDS_REVIEW","15","15","15","15","BESPOKE","NONE","LEGACY_BESPOKE","BM-006__87ff96f9a866","","",""
"BM-007","YES","EXTRACTED_NEEDS_REVIEW","17","17","17","17","BESPOKE","NONE","LEGACY_BESPOKE","BM-007__549970d471d1","","",""
"BM-008","YES","EXTRACTED_NEEDS_REVIEW","14","14","14","14","BESPOKE","NONE","LEGACY_BESPOKE","BM-008__87981f1c5cf8","","",""
"BM-009","YES","EXTRACTED_NEEDS_REVIEW","16","16","16","16","BESPOKE","NONE","LEGACY_BESPOKE","BM-009__ad542fd7bc45","","",""
"BM-010","YES","EXTRACTED_NEEDS_REVIEW","15","15","15","15","BESPOKE","NONE","LEGACY_BESPOKE","BM-010__3814cd2b4bcf","","",""
"BM-011","YES","EXTRACTED_NEEDS_REVIEW","15","15","15","15","BESPOKE","NONE","LEGACY_BESPOKE","BM-011__26e6e688d223","","",""
"BM-012","YES","EXTRACTED_NEEDS_REVIEW","14","14","14","14","BESPOKE","NONE","LEGACY_BESPOKE","BM-012__7733d5ac8e86","","",""
"BM-013","YES","EXTRACTED_NEEDS_REVIEW","5","5","5","5","BESPOKE","NONE","LEGACY_BESPOKE","BM-013__9a1f7d37fec9","","",""
"BM-014","YES","EXTRACTED_NEEDS_REVIEW","19","19","19","19","BESPOKE","NONE","LEGACY_BESPOKE","BM-014__ff318bb91779","","",""
"BM-015","YES","EXTRACTED_NEEDS_REVIEW","28","28","28","28","BESPOKE","NONE","LEGACY_BESPOKE","BM-015__08f17df338d2","","",""
"BM-016","YES","EXTRACTED_NEEDS_REVIEW","30","30","30","30","BESPOKE","NONE","LEGACY_BESPOKE","BM-016__565ec1fc2103","","",""
"BM-017","YES","EXTRACTED_NEEDS_REVIEW","14","14","14","14","BESPOKE","NONE","LEGACY_BESPOKE","BM-017__6b3cad999c61","","",""
"BM-018","YES","EXTRACTED_NEEDS_REVIEW","17","17","17","17","BESPOKE","NONE","LEGACY_BESPOKE","BM-018__fe8c39468552","","",""
"BM-019","YES","EXTRACTED_NEEDS_REVIEW","17","17","17","17","BESPOKE","NONE","LEGACY_BESPOKE","BM-019__3c2858f47dad","","",""
