templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,recommendedPrefillKind,reason,currentSampleValue,controlType
BM-001,"document.issuePlaceDateLine","Địa điểm, ngày lập",true,SYSTEM,SAFE_RUNTIME_DEFAULT,DOCUMENT_PLACE_DATE,"SYSTEM/CURRENT_DATE field. Label ""Địa điểm, ngày lập"" matches safe document place/date pattern.","TP. Hồ Chí Minh, ngày 01 tháng 01 năm 2026",TEXT
BM-001,"receiver.fullName","Họ tên người tiếp nhận",true,MANUAL,NEVER_AUTO,NONE,"Label ""Họ tên người tiếp nhận"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"receiver.positionTitle","Chức vụ",true,OFFICIAL,NEVER_AUTO,NONE,"Label ""Chức vụ"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"receiver.departmentName","Đơn vị công tác",true,MANUAL,NEVER_AUTO,NONE,"Label ""Đơn vị công tác"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.fullName","Họ tên người cung cấp tin",true,MANUAL,NEVER_AUTO,NONE,"Label ""Họ tên người cung cấp tin"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.genderLabel","Giới tính",true,MANUAL,NEVER_AUTO,NONE,"Label ""Giới tính"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.otherName","Tên gọi khác",true,MANUAL,NEVER_AUTO,NONE,"Label ""Tên gọi khác"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.birthDay","Ngày sinh",true,MANUAL,NEVER_AUTO,NONE,"Label ""Ngày sinh"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.birthMonth","Tháng sinh",true,MANUAL,NEVER_AUTO,NONE,"Label ""Tháng sinh"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.birthYear","Năm sinh",true,MANUAL,NEVER_AUTO,NONE,"Label ""Năm sinh"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.placeOfBirth","Nơi sinh",true,MANUAL,NEVER_AUTO,NONE,"Label ""Nơi sinh"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.nationality","Quốc tịch",true,MANUAL,NEVER_AUTO,NONE,"Label ""Quốc tịch"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.ethnicity","Dân tộc",true,MANUAL,NEVER_AUTO,NONE,"Label ""Dân tộc"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.religion","Tôn giáo",true,MANUAL,NEVER_AUTO,NONE,"Label ""Tôn giáo"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.occupation","Nghề nghiệp",true,MANUAL,NEVER_AUTO,NONE,"Label ""Nghề nghiệp"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.identityNo","Số CCCD/CMND",true,MANUAL,NEVER_AUTO,NONE,"Label ""Số CCCD/CMND"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.identityIssuedDay","Ngày cấp",true,MANUAL,NEVER_AUTO,NONE,"Label ""Ngày cấp"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.identityIssuedMonth","Tháng cấp",true,MANUAL,NEVER_AUTO,NONE,"Label ""Tháng cấp"" matches NEVER_AUTO pattern.",,TEXT
BM-001,"informant.identityIssuedYear","Năm cấp",true,MANUAL,NEVER_AUTO,NONE,"Label ""Năm cấp"" matches NEVER_AUTO pattern.",,TEXT
